sub,band,bin,win,acc,rt,rt_correct
"sub",alpha,b1,pre,1,416.5,416.5
"sub",alpha,b2,pre,1,384.5,384.5
"sub",beta,b1,pre,1,410.5,410.5
"sub",beta,b2,pre,1,384.5,384.5
"sub",alpha,b1,pre,0.952380952380952,454.5,454.5
"sub",alpha,b2,pre,0.952380952380952,450.5,450.5
"sub",beta,b1,pre,0.916666666666667,464.5,464.5
"sub",beta,b2,pre,1,442,442
"sub",alpha,b1,pre,0.821428571428571,437,437
"sub",alpha,b2,pre,0.722222222222222,410,410
"sub",beta,b1,pre,0.846153846153846,413,413
"sub",beta,b2,pre,0.7,424.5,424.5
"sub ",alpha,b1,pre,0.967741935483871,514.5,514.5
"sub ",alpha,b2,pre,1,478,478
"sub ",beta,b1,pre,0.96875,506,506
"sub ",beta,b2,pre,1,489,489
"sub!",alpha,b1,pre,1,589,589
"sub!",alpha,b2,pre,0.96,532,532
"sub!",beta,b1,pre,1,526,526
"sub!",beta,b2,pre,0.966666666666667,562,562
"sub#",alpha,b1,pre,0.966666666666667,728,728
"sub#",alpha,b2,pre,0.96,730.5,730.5
"sub#",beta,b1,pre,0.923076923076923,744,744
"sub#",beta,b2,pre,1,718,718
"sub$",alpha,b1,pre,1,584,584
"sub$",alpha,b2,pre,0.958333333333333,575,575
"sub$",beta,b1,pre,1,592,592
"sub$",beta,b2,pre,0.964285714285714,575,575
"sub&",alpha,b1,pre,0.793103448275862,621,621
"sub&",alpha,b2,pre,0.696969696969697,666,666
"sub&",beta,b1,pre,0.478260869565217,594,594
"sub&",beta,b2,pre,0.897435897435897,666,666
"sub'",alpha,b1,pre,0.791666666666667,697,697
"sub'",alpha,b2,pre,0.896551724137931,685,685
"sub'",beta,b1,pre,0.695652173913043,695,695
"sub'",beta,b2,pre,0.96551724137931,689,689
"sub(",alpha,b1,pre,0.903225806451613,545.5,545.5
"sub(",alpha,b2,pre,0.964285714285714,561,561
"sub(",beta,b1,pre,0.96875,522,522
"sub(",beta,b2,pre,0.888888888888889,576,576
"sub)",alpha,b1,pre,0.948717948717949,544,544
"sub)",alpha,b2,pre,0.956521739130435,563.5,563.5
"sub)",beta,b1,pre,0.947368421052632,561.5,561.5
"sub)",beta,b2,pre,0.958333333333333,542,542
"sub*",alpha,b1,pre,0.909090909090909,733.5,733.5
"sub*",alpha,b2,pre,0.740740740740741,760,760
"sub*",beta,b1,pre,0.833333333333333,780,780
"sub*",beta,b2,pre,0.833333333333333,722,722
"sub+",alpha,b1,pre,0.85,481,481
"sub+",alpha,b2,pre,0.958333333333333,524,524
"sub+",beta,b1,pre,0.85,513,513
"sub+",beta,b2,pre,0.958333333333333,517,517
"sub,",alpha,b1,pre,1,690.5,690.5
"sub,",alpha,b2,pre,0.958333333333333,782,782
"sub,",beta,b1,pre,1,714,714
"sub,",beta,b2,pre,0.962962962962963,743,743
"sub.",alpha,b1,pre,0.928571428571429,469,469
"sub.",alpha,b2,pre,0.933333333333333,556.5,556.5
"sub.",beta,b1,pre,1,465,465
"sub.",beta,b2,pre,0.885714285714286,536,536
"sub/",alpha,b1,pre,0.916666666666667,607,607
"sub/",alpha,b2,pre,0.96,636,636
"sub/",beta,b1,pre,0.939393939393939,605,605
"sub/",beta,b2,pre,0.928571428571429,629,629
"sub0",alpha,b1,pre,0.941176470588235,684,684
"sub0",alpha,b2,pre,0.964285714285714,761,761
"sub0",beta,b1,pre,0.933333333333333,655,655
"sub0",beta,b2,pre,0.96875,761,761
"sub1",alpha,b1,pre,0.928571428571429,648.5,648.5
"sub1",alpha,b2,pre,0.9375,614.5,614.5
"sub1",beta,b1,pre,0.967741935483871,618,618
"sub1",beta,b2,pre,0.896551724137931,649.5,649.5
"sub2",alpha,b1,pre,0.9375,486.5,486.5
"sub2",alpha,b2,pre,0.814814814814815,563,563
"sub2",beta,b1,pre,0.806451612903226,521,521
"sub2",beta,b2,pre,0.964285714285714,527,527
"sub3",alpha,b1,pre,1,710.5,710.5
"sub3",alpha,b2,pre,0.923076923076923,629.5,629.5
"sub3",beta,b1,pre,0.928571428571429,672.5,672.5
"sub3",beta,b2,pre,1,685,685
